0.000000000000000000e+00,1.000000000000000000e+00,3.535499999999999754e-01,3.535499999999999754e-01.1,1.000000000000000000e+00.1
1.0,71.0,1.0,0.0,1.0
1.0,72.0,1.0,0.0,1.0
1.0,73.0,1.0,0.0,1.0
1.0,74.0,1.0,0.0,1.0
1.0,75.0,1.0,0.0,1.0
1.0,76.0,1.0,0.0,1.0
1.0,77.0,1.0,0.0,1.0
1.0,78.0,1.0,0.0,1.0
1.0,79.0,0.35355,-0.35355,1.0
1.0,80.0,1.0,0.0,1.0
1.0,81.0,1.0,0.0,1.0
1.0,82.0,1.0,0.0,1.0
1.0,83.0,1.0,0.0,1.0
1.0,84.0,1.0,0.0,1.0
1.0,85.0,1.0,0.0,1.0
1.0,86.0,1.0,0.0,1.0
1.0,87.0,1.0,0.0,1.0
1.0,88.0,1.0,0.0,1.0
1.0,89.0,1.0,0.0,1.0
1.0,90.0,1.0,0.0,1.0
1.0,91.0,1.0,0.0,1.0
1.0,92.0,1.0,0.0,1.0
1.0,93.0,1.0,0.0,1.0
1.0,94.0,1.0,0.0,1.0
1.0,95.0,1.0,0.0,1.0
1.0,96.0,0.35355,-0.35355,1.0
1.0,97.0,1.0,0.0,1.0
1.0,98.0,1.0,0.0,1.0
1.0,99.0,1.0,0.0,1.0
1.0,100.0,1.0,0.0,1.0
1.0,101.0,1.0,0.0,1.0
1.0,102.0,1.0,0.0,1.0
1.0,103.0,1.0,0.0,1.0
1.0,104.0,1.0,0.0,1.0
1.0,105.0,1.0,0.0,1.0
1.0,106.0,1.0,0.0,1.0
1.0,107.0,1.0,0.0,1.0
1.0,108.0,1.0,0.0,1.0
1.0,109.0,1.0,0.0,1.0
1.0,110.0,1.0,0.0,1.0
1.0,111.0,1.0,0.0,1.0
1.0,112.0,0.35355,-0.35355,1.0
1.0,113.0,1.0,0.0,1.0
1.0,114.0,1.0,0.0,1.0
1.0,115.0,1.0,0.0,1.0
1.0,116.0,1.0,0.0,1.0
1.0,117.0,1.0,0.0,1.0
1.0,118.0,1.0,0.0,1.0
1.0,119.0,1.0,0.0,1.0
1.0,120.0,0.35355,-0.35355,1.0
1.0,121.0,1.0,0.0,1.0
1.0,122.0,1.0,0.0,1.0
1.0,123.0,1.0,0.0,1.0
1.0,124.0,1.0,0.0,1.0
1.0,125.0,1.0,0.0,1.0
1.0,126.0,1.0,0.0,1.0
1.0,127.0,1.0,0.0,1.0
1.0,128.0,1.0,0.0,1.0
1.0,129.0,1.0,0.0,1.0
1.0,130.0,1.0,0.0,1.0
1.0,131.0,1.0,0.0,1.0
1.0,132.0,1.0,0.0,1.0
1.0,133.0,1.0,0.0,1.0
1.0,134.0,1.0,0.0,1.0
1.0,135.0,1.0,0.0,1.0
1.0,136.0,1.0,0.0,1.0
1.0,137.0,1.0,0.0,1.0
1.0,138.0,1.0,0.0,1.0
1.0,139.0,1.0,0.0,1.0
1.0,140.0,1.0,0.0,1.0
1.0,141.0,1.0,0.0,1.0
1.0,142.0,0.35355,-0.35355,1.0
1.0,143.0,1.0,0.0,1.0
1.0,144.0,1.0,0.0,1.0
1.0,145.0,1.0,0.0,1.0
1.0,146.0,1.0,0.0,1.0
1.0,147.0,0.35355,-0.35355,1.0
1.0,148.0,1.0,0.0,1.0
1.0,149.0,1.0,0.0,1.0
1.0,150.0,1.0,0.0,1.0
1.0,151.0,1.0,0.0,1.0
1.0,152.0,1.0,0.0,1.0
1.0,153.0,1.0,0.0,1.0
1.0,154.0,1.0,0.0,1.0
1.0,155.0,1.0,0.0,1.0
1.0,156.0,1.0,0.0,1.0
1.0,157.0,1.0,0.0,1.0
1.0,158.0,1.0,0.0,1.0
1.0,159.0,1.0,0.0,1.0
1.0,160.0,0.35355,-0.35355,1.0
1.0,161.0,0.35355,-0.35355,1.0
1.0,162.0,1.0,0.0,1.0
1.0,163.0,1.0,0.0,1.0
1.0,164.0,1.0,0.0,1.0
1.0,165.0,1.0,0.0,1.0
1.0,166.0,1.0,0.0,1.0
1.0,167.0,1.0,0.0,1.0
1.0,168.0,1.0,0.0,1.0
1.0,169.0,1.0,0.0,1.0
1.0,170.0,1.0,0.0,1.0
1.0,171.0,1.0,0.0,1.0
1.0,172.0,1.0,0.0,1.0
1.0,173.0,1.0,0.0,1.0
1.0,174.0,1.0,0.0,1.0
1.0,175.0,1.0,0.0,1.0
1.0,176.0,1.0,0.0,1.0
1.0,177.0,1.0,0.0,1.0
1.0,178.0,1.0,0.0,1.0
1.0,179.0,1.0,0.0,1.0
1.0,180.0,1.0,0.0,1.0
1.0,181.0,0.35355,-0.35355,1.0
1.0,182.0,0.35355,-0.35355,1.0
1.0,183.0,1.0,0.0,1.0
1.0,184.0,1.0,0.0,1.0
1.0,185.0,1.0,0.0,1.0
1.0,186.0,1.0,0.0,1.0
1.0,187.0,1.0,0.0,1.0
1.0,188.0,1.0,0.0,1.0
1.0,189.0,1.0,0.0,1.0
1.0,190.0,1.0,0.0,1.0
1.0,191.0,1.0,0.0,1.0
1.0,192.0,1.0,0.0,1.0
1.0,193.0,1.0,0.0,1.0
1.0,194.0,1.0,0.0,1.0
1.0,195.0,1.0,0.0,1.0
1.0,196.0,1.0,0.0,1.0
1.0,197.0,1.0,0.0,1.0
1.0,198.0,1.0,0.0,1.0
1.0,199.0,1.0,0.0,1.0
1.0,200.0,1.0,0.0,1.0
1.0,201.0,1.0,0.0,1.0
1.0,202.0,1.0,0.0,1.0
1.0,203.0,1.0,0.0,1.0
1.0,204.0,1.0,0.0,1.0
1.0,205.0,1.0,0.0,1.0
1.0,206.0,1.0,0.0,1.0
1.0,207.0,1.0,0.0,1.0
1.0,208.0,1.0,0.0,1.0
1.0,209.0,1.0,0.0,1.0
1.0,210.0,1.0,0.0,1.0
1.0,211.0,1.0,0.0,1.0
1.0,212.0,1.0,0.0,1.0
1.0,213.0,1.0,0.0,1.0
1.0,214.0,1.0,0.0,1.0
1.0,215.0,1.0,0.0,1.0
1.0,216.0,1.0,0.0,1.0
1.0,217.0,1.0,0.0,1.0
1.0,218.0,1.0,0.0,1.0
1.0,219.0,1.0,0.0,1.0
1.0,220.0,1.0,0.0,1.0
1.0,221.0,1.0,0.0,1.0
1.0,222.0,1.0,0.0,1.0
1.0,223.0,1.0,0.0,1.0
1.0,224.0,1.0,0.0,1.0
1.0,225.0,1.0,0.0,1.0
1.0,226.0,1.0,0.0,1.0
1.0,227.0,1.0,0.0,1.0
1.0,228.0,1.0,0.0,1.0
1.0,229.0,1.0,0.0,1.0
1.0,230.0,1.0,0.0,1.0
1.0,231.0,1.0,0.0,1.0
1.0,232.0,1.0,0.0,1.0
1.0,233.0,1.0,0.0,1.0
1.0,234.0,1.0,0.0,1.0
1.0,235.0,1.0,0.0,1.0
1.0,236.0,1.0,0.0,1.0
1.0,237.0,1.0,0.0,1.0
1.0,238.0,1.0,0.0,1.0
1.0,239.0,1.0,0.0,1.0
1.0,240.0,1.0,0.0,1.0
1.0,241.0,0.35355,-0.35355,1.0
1.0,242.0,1.0,0.0,1.0
1.0,243.0,1.0,0.0,1.0
1.0,244.0,1.0,0.0,1.0
1.0,245.0,1.0,0.0,1.0
1.0,246.0,1.0,0.0,1.0
1.0,247.0,1.0,0.0,1.0
1.0,248.0,1.0,0.0,1.0
1.0,249.0,1.0,0.0,1.0
1.0,250.0,1.0,0.0,1.0
1.0,251.0,1.0,0.0,1.0
1.0,252.0,1.0,0.0,1.0
1.0,253.0,1.0,0.0,1.0
1.0,254.0,1.0,0.0,1.0
1.0,255.0,1.0,0.0,1.0
1.0,256.0,1.0,0.0,1.0
1.0,257.0,1.0,0.0,1.0
1.0,258.0,1.0,0.0,1.0
1.0,259.0,1.0,0.0,1.0
1.0,260.0,1.0,0.0,1.0
1.0,261.0,1.0,0.0,1.0
1.0,262.0,1.0,0.0,1.0
1.0,263.0,1.0,0.0,1.0
1.0,264.0,1.0,0.0,1.0
1.0,265.0,1.0,0.0,1.0
1.0,266.0,1.0,0.0,1.0
1.0,267.0,1.0,0.0,1.0
1.0,268.0,1.0,0.0,1.0
1.0,269.0,1.0,0.0,1.0
1.0,270.0,1.0,0.0,1.0
1.0,271.0,1.0,0.0,1.0
1.0,272.0,1.0,0.0,1.0
1.0,273.0,1.0,0.0,1.0
1.0,274.0,1.0,0.0,1.0
1.0,275.0,1.0,0.0,1.0
1.0,276.0,0.35355,-0.35355,1.0
1.0,277.0,1.0,0.0,1.0
1.0,278.0,1.0,0.0,1.0
1.0,279.0,1.0,0.0,1.0
1.0,280.0,1.0,0.0,1.0
1.0,281.0,1.0,0.0,1.0
1.0,282.0,1.0,0.0,1.0
1.0,283.0,1.0,0.0,1.0
1.0,284.0,1.0,0.0,1.0
1.0,285.0,1.0,0.0,1.0
1.0,286.0,1.0,0.0,1.0
1.0,287.0,1.0,0.0,1.0
1.0,288.0,1.0,0.0,1.0
1.0,289.0,1.0,0.0,1.0
1.0,290.0,1.0,0.0,1.0
1.0,291.0,1.0,0.0,1.0
1.0,292.0,1.0,0.0,1.0
1.0,293.0,0.35355,-0.35355,1.0
1.0,294.0,1.0,0.0,1.0
1.0,295.0,1.0,0.0,1.0
1.0,296.0,1.0,0.0,1.0
1.0,297.0,1.0,0.0,1.0
1.0,298.0,1.0,0.0,1.0
1.0,299.0,1.0,0.0,1.0
1.0,300.0,1.0,0.0,1.0
1.0,301.0,1.0,0.0,1.0
1.0,302.0,1.0,0.0,1.0
1.0,303.0,1.0,0.0,1.0
1.0,304.0,1.0,0.0,1.0
1.0,305.0,1.0,0.0,1.0
1.0,306.0,1.0,0.0,1.0
1.0,307.0,1.0,0.0,1.0
1.0,308.0,1.0,0.0,1.0
1.0,309.0,1.0,0.0,1.0
1.0,310.0,1.0,0.0,1.0
1.0,311.0,1.0,0.0,1.0
1.0,312.0,1.0,0.0,1.0
1.0,313.0,1.0,0.0,1.0
1.0,314.0,1.0,0.0,1.0
1.0,315.0,1.0,0.0,1.0
1.0,316.0,1.0,0.0,1.0
1.0,317.0,1.0,0.0,1.0
1.0,318.0,1.0,0.0,1.0
1.0,319.0,1.0,0.0,1.0
1.0,320.0,1.0,0.0,1.0
1.0,321.0,1.0,0.0,1.0
1.0,322.0,1.0,0.0,1.0
1.0,323.0,1.0,0.0,1.0
1.0,324.0,1.0,0.0,1.0
1.0,325.0,1.0,0.0,1.0
1.0,326.0,1.0,0.0,1.0
1.0,327.0,1.0,0.0,1.0
1.0,328.0,1.0,0.0,1.0
1.0,329.0,1.0,0.0,1.0
1.0,330.0,1.0,0.0,1.0
1.0,331.0,1.0,0.0,1.0
1.0,332.0,1.0,0.0,1.0
1.0,333.0,1.0,0.0,1.0
1.0,334.0,1.0,0.0,1.0
1.0,335.0,1.0,0.0,1.0
1.0,336.0,1.0,0.0,1.0
1.0,337.0,0.35355,-0.35355,1.0
1.0,338.0,1.0,0.0,1.0
1.0,339.0,1.0,0.0,1.0
1.0,340.0,1.0,0.0,1.0
1.0,341.0,1.0,0.0,1.0
1.0,342.0,1.0,0.0,1.0
1.0,343.0,1.0,0.0,1.0
1.0,344.0,1.0,0.0,1.0
1.0,345.0,1.0,0.0,1.0
1.0,346.0,1.0,0.0,1.0
1.0,347.0,1.0,0.0,1.0
1.0,348.0,1.0,0.0,1.0
1.0,349.0,1.0,0.0,1.0
1.0,350.0,1.0,0.0,1.0
1.0,351.0,1.0,0.0,1.0
1.0,352.0,1.0,0.0,1.0
1.0,353.0,1.0,0.0,1.0
1.0,354.0,1.0,0.0,1.0
1.0,355.0,1.0,0.0,1.0
1.0,356.0,1.0,0.0,1.0
1.0,357.0,1.0,0.0,1.0
1.0,358.0,1.0,0.0,1.0
1.0,359.0,1.0,0.0,1.0
1.0,360.0,1.0,0.0,1.0
1.0,361.0,1.0,0.0,1.0
1.0,362.0,1.0,0.0,1.0
1.0,363.0,1.0,0.0,1.0
1.0,364.0,1.0,0.0,1.0
1.0,365.0,1.0,0.0,1.0
1.0,366.0,1.0,0.0,1.0
1.0,367.0,1.0,0.0,1.0
1.0,368.0,1.0,0.0,1.0
1.0,369.0,1.0,0.0,1.0
1.0,370.0,1.0,0.0,1.0
1.0,371.0,1.0,0.0,1.0
1.0,372.0,1.0,0.0,1.0
1.0,373.0,1.0,0.0,1.0
1.0,374.0,1.0,0.0,1.0
1.0,375.0,1.0,0.0,1.0
1.0,376.0,1.0,0.0,1.0
1.0,377.0,1.0,0.0,1.0
1.0,378.0,1.0,0.0,1.0
1.0,379.0,1.0,0.0,1.0
1.0,380.0,0.35355,-0.35355,1.0
1.0,381.0,1.0,0.0,1.0
1.0,382.0,1.0,0.0,1.0
1.0,383.0,1.0,0.0,1.0
1.0,384.0,1.0,0.0,1.0
1.0,385.0,1.0,0.0,1.0
1.0,386.0,1.0,0.0,1.0
1.0,387.0,1.0,0.0,1.0
1.0,388.0,1.0,0.0,1.0
1.0,389.0,1.0,0.0,1.0
1.0,390.0,1.0,0.0,1.0
1.0,391.0,1.0,0.0,1.0
1.0,392.0,1.0,0.0,1.0
1.0,393.0,1.0,0.0,1.0
1.0,394.0,1.0,0.0,1.0
1.0,395.0,1.0,0.0,1.0
1.0,396.0,1.0,0.0,1.0
1.0,397.0,1.0,0.0,1.0
1.0,398.0,1.0,0.0,1.0
1.0,399.0,0.35355,0.35355,1.0
1.0,400.0,0.35355,0.35355,1.0
1.0,401.0,0.35355,0.35355,1.0
1.0,402.0,0.35355,0.35355,1.0
1.0,403.0,0.35355,0.35355,1.0
1.0,404.0,0.35355,0.35355,1.0
1.0,405.0,0.35355,0.35355,1.0
1.0,406.0,0.35355,0.35355,1.0
1.0,407.0,0.35355,0.35355,1.0
1.0,408.0,0.35355,0.35355,1.0
1.0,409.0,0.35355,0.35355,1.0
1.0,410.0,0.35355,0.35355,1.0
1.0,411.0,0.35355,0.35355,1.0
1.0,412.0,0.35355,0.35355,1.0
1.0,413.0,0.35355,0.35355,1.0
1.0,414.0,0.35355,0.35355,1.0
1.0,415.0,0.35355,0.35355,1.0
1.0,416.0,0.35355,0.35355,1.0
1.0,417.0,0.35355,0.35355,1.0
1.0,418.0,0.35355,0.35355,1.0
1.0,419.0,0.35355,0.35355,1.0
1.0,420.0,0.35355,0.35355,1.0
1.0,421.0,0.35355,0.35355,1.0
1.0,422.0,0.35355,0.35355,1.0
1.0,423.0,0.35355,0.35355,1.0
1.0,424.0,0.35355,0.35355,1.0
1.0,425.0,0.35355,0.35355,1.0
1.0,426.0,0.35355,0.35355,1.0
1.0,427.0,0.35355,0.35355,1.0
1.0,428.0,0.35355,0.35355,1.0
1.0,429.0,0.35355,0.35355,1.0
1.0,430.0,0.35355,0.35355,1.0
1.0,431.0,0.35355,0.35355,1.0
1.0,432.0,0.35355,0.35355,1.0
1.0,433.0,0.35355,0.35355,1.0
1.0,434.0,0.35355,0.35355,1.0
1.0,435.0,0.35355,0.35355,1.0
1.0,436.0,0.35355,0.35355,1.0
1.0,437.0,0.35355,0.35355,1.0
1.0,438.0,0.35355,0.35355,1.0
1.0,439.0,0.35355,0.35355,1.0
1.0,440.0,0.35355,0.35355,1.0
1.0,441.0,0.35355,0.35355,1.0
1.0,442.0,0.35355,0.35355,1.0
1.0,443.0,0.35355,0.35355,1.0
1.0,444.0,0.35355,0.35355,1.0
1.0,445.0,0.35355,0.35355,1.0
1.0,446.0,0.35355,0.35355,1.0
1.0,447.0,0.35355,0.35355,1.0
1.0,448.0,0.35355,0.35355,1.0
1.0,449.0,0.35355,0.35355,1.0
1.0,450.0,0.35355,0.35355,1.0
1.0,451.0,0.35355,0.35355,1.0
1.0,452.0,0.35355,0.35355,1.0
1.0,453.0,0.35355,0.35355,1.0
1.0,454.0,0.35355,0.35355,1.0
1.0,455.0,0.35355,0.35355,1.0
1.0,456.0,0.35355,0.35355,1.0
1.0,457.0,0.35355,0.35355,1.0
1.0,458.0,0.35355,0.35355,1.0
1.0,459.0,0.35355,0.35355,1.0
1.0,460.0,0.35355,0.35355,1.0
1.0,461.0,0.35355,0.35355,1.0
1.0,462.0,0.35355,0.35355,1.0
1.0,463.0,0.35355,0.35355,1.0
1.0,464.0,0.35355,0.35355,1.0
1.0,465.0,0.35355,0.35355,1.0
1.0,466.0,0.35355,0.35355,1.0
1.0,467.0,0.35355,0.35355,1.0
1.0,468.0,0.35355,0.35355,1.0
1.0,469.0,0.35355,0.35355,1.0
1.0,470.0,0.35355,0.35355,1.0
1.0,471.0,0.35355,0.35355,1.0
1.0,472.0,0.35355,0.35355,1.0
1.0,473.0,0.35355,0.35355,1.0
1.0,474.0,0.35355,0.35355,1.0
1.0,475.0,0.35355,0.35355,1.0
1.0,476.0,0.35355,0.35355,1.0
1.0,477.0,0.35355,0.35355,1.0
1.0,478.0,0.35355,0.35355,1.0
1.0,479.0,0.35355,0.35355,1.0
1.0,480.0,0.35355,0.35355,1.0
1.0,481.0,0.35355,0.35355,1.0
1.0,482.0,0.35355,0.35355,1.0
1.0,483.0,0.35355,0.35355,1.0
1.0,484.0,0.35355,0.35355,1.0
1.0,485.0,0.35355,0.35355,1.0
1.0,486.0,0.35355,0.35355,1.0
1.0,487.0,0.35355,0.35355,1.0
1.0,488.0,0.35355,0.35355,1.0
1.0,489.0,0.35355,0.35355,1.0
1.0,490.0,0.35355,0.35355,1.0
1.0,491.0,0.35355,0.35355,1.0
1.0,492.0,0.35355,0.35355,1.0
1.0,493.0,0.35355,0.35355,1.0
1.0,494.0,0.35355,0.35355,1.0
1.0,495.0,0.35355,0.35355,1.0
1.0,496.0,0.35355,0.35355,1.0
1.0,497.0,0.35355,0.35355,1.0
1.0,498.0,0.35355,0.35355,1.0
1.0,499.0,0.35355,0.35355,1.0
1.0,500.0,0.35355,0.35355,1.0
1.0,501.0,0.35355,0.35355,1.0
1.0,502.0,0.35355,0.35355,1.0
1.0,503.0,0.35355,0.35355,1.0
1.0,504.0,0.35355,0.35355,1.0
1.0,505.0,0.35355,0.35355,1.0
1.0,506.0,0.35355,0.35355,1.0
1.0,507.0,0.35355,0.35355,1.0
1.0,508.0,-0.35355,0.35355,-1.0
1.0,509.0,-0.35355,0.35355,-1.0
1.0,510.0,-0.35355,0.35355,-1.0
1.0,511.0,-0.35355,0.35355,-1.0
2.0,1.0,0.35355,0.35355,1.0
2.0,192.0,-1.0,0.0,-1.0
2.0,215.0,1.0,0.0,1.0
2.0,682.0,-1.0,0.0,-1.0
2.0,753.0,-0.35355,0.35355,-1.0
2.0,757.0,1.0,0.0,1.0
2.0,1016.0,0.35355,0.35355,1.0
2.0,1143.0,1.0,0.0,1.0
2.0,3320.0,1.0,0.0,1.0
3.0,1.0,1.0,0.0,1.0
3.0,8.0,-0.35355,-0.35355,-1.0
3.0,89.0,0.35355,0.35355,1.0
3.0,139.0,1.0,0.0,1.0
3.0,850.0,0.35355,0.35355,1.0
4.0,1.0,1.0,0.0,1.0
5.0,1.0,1.0,0.0,1.0
6.0,1.0,1.0,0.0,1.0
6.0,571.0,1.0,0.0,1.0
6.0,624.0,1.0,0.0,1.0
6.0,704.0,1.0,0.0,1.0
6.0,715.0,1.0,0.0,1.0
6.0,1222.0,1.0,0.0,1.0
6.0,2321.0,1.0,0.0,1.0
7.0,1.0,1.0,0.0,1.0
7.0,11.0,1.0,0.0,1.0
7.0,37.0,1.0,0.0,1.0
7.0,38.0,1.0,0.0,1.0
7.0,215.0,1.0,0.0,1.0
7.0,1630.0,1.0,0.0,1.0
7.0,1688.0,1.0,0.0,1.0
7.0,1907.0,0.35355,0.35355,1.0
7.0,1959.0,1.0,0.0,1.0
7.0,2922.0,1.0,0.0,1.0
8.0,1.0,1.0,0.0,1.0
8.0,3.0,-0.35355,0.35355,-1.0
8.0,43.0,1.0,0.0,1.0
8.0,46.0,0.35355,-0.35355,1.0
8.0,49.0,0.35355,-0.35355,1.0
8.0,58.0,1.0,0.0,1.0
8.0,72.0,1.0,0.0,1.0
8.0,79.0,0.35355,-0.35355,1.0
8.0,80.0,0.35355,-0.35355,1.0
8.0,113.0,1.0,0.0,1.0
8.0,117.0,1.0,0.0,1.0
8.0,136.0,1.0,0.0,1.0
8.0,149.0,1.0,0.0,1.0
8.0,161.0,1.0,0.0,1.0
8.0,174.0,0.35355,0.35355,1.0
8.0,221.0,1.0,0.0,1.0
8.0,244.0,-0.35355,0.35355,-1.0
8.0,254.0,1.0,0.0,1.0
8.0,262.0,1.0,0.0,1.0
8.0,269.0,1.0,0.0,1.0
8.0,276.0,0.35355,-0.35355,1.0
8.0,284.0,1.0,0.0,1.0
8.0,349.0,0.35355,0.35355,1.0
8.0,451.0,0.35355,0.35355,1.0
8.0,514.0,1.0,0.0,1.0
8.0,515.0,1.0,0.0,1.0
8.0,529.0,1.0,0.0,1.0
8.0,533.0,0.35355,-0.35355,1.0
8.0,535.0,1.0,0.0,1.0
8.0,541.0,1.0,0.0,1.0
8.0,542.0,0.35355,0.35355,1.0
8.0,547.0,1.0,0.0,1.0
8.0,548.0,1.0,0.0,1.0
8.0,562.0,1.0,0.0,1.0
8.0,563.0,1.0,0.0,1.0
8.0,564.0,1.0,0.0,1.0
8.0,570.0,1.0,0.0,1.0
8.0,571.0,0.35355,-0.35355,1.0
8.0,584.0,1.0,0.0,1.0
8.0,586.0,1.0,0.0,1.0
8.0,610.0,1.0,0.0,1.0
8.0,614.0,1.0,0.0,1.0
8.0,616.0,1.0,0.0,1.0
8.0,617.0,-1.0,0.0,-1.0
8.0,624.0,1.0,0.0,1.0
8.0,636.0,-1.0,0.0,-1.0
8.0,675.0,0.35355,0.35355,1.0
8.0,682.0,0.35355,-0.35355,1.0
8.0,684.0,0.35355,0.35355,1.0
8.0,689.0,0.35355,0.35355,1.0
8.0,690.0,1.0,0.0,1.0
8.0,706.0,1.0,0.0,1.0
8.0,709.0,-0.35355,0.35355,-1.0
8.0,711.0,1.0,0.0,1.0
8.0,713.0,0.35355,-0.35355,1.0
8.0,715.0,0.35355,0.35355,1.0
8.0,718.0,1.0,0.0,1.0
8.0,731.0,0.35355,0.35355,1.0
8.0,732.0,1.0,0.0,1.0
8.0,735.0,0.35355,0.35355,1.0
8.0,743.0,-1.0,0.0,-1.0
8.0,769.0,0.35355,-0.35355,1.0
8.0,774.0,1.0,0.0,1.0
8.0,784.0,-1.0,0.0,-1.0
8.0,799.0,0.35355,0.35355,1.0
8.0,800.0,1.0,0.0,1.0
8.0,810.0,1.0,0.0,1.0
8.0,839.0,1.0,0.0,1.0
8.0,843.0,1.0,0.0,1.0
8.0,853.0,1.0,0.0,1.0
8.0,862.0,1.0,0.0,1.0
8.0,864.0,0.35355,0.35355,1.0
8.0,876.0,1.0,0.0,1.0
8.0,884.0,-1.0,0.0,-1.0
8.0,953.0,1.0,0.0,1.0
8.0,987.0,0.35355,0.35355,1.0
8.0,1008.0,1.0,0.0,1.0
8.0,1023.0,1.0,0.0,1.0
8.0,1026.0,1.0,0.0,1.0
8.0,1043.0,1.0,0.0,1.0
8.0,1119.0,1.0,0.0,1.0
8.0,1131.0,1.0,0.0,1.0
8.0,1134.0,0.35355,0.35355,1.0
8.0,1162.0,0.35355,0.35355,1.0
8.0,1185.0,1.0,0.0,1.0
8.0,1190.0,1.0,0.0,1.0
8.0,1213.0,1.0,0.0,1.0
8.0,1214.0,0.35355,0.35355,1.0
8.0,1230.0,1.0,0.0,1.0
8.0,1239.0,-0.35355,0.35355,-1.0
8.0,1247.0,1.0,0.0,1.0
8.0,1249.0,-1.0,0.0,-1.0
8.0,1250.0,-1.0,0.0,-1.0
8.0,1251.0,-0.35355,0.35355,-1.0
8.0,1252.0,-1.0,0.0,-1.0
8.0,1267.0,-0.35355,0.35355,-1.0
8.0,1279.0,1.0,0.0,1.0
8.0,1398.0,1.0,0.0,1.0
8.0,1460.0,1.0,0.0,1.0
8.0,1471.0,1.0,0.0,1.0
8.0,1482.0,1.0,0.0,1.0
8.0,1525.0,1.0,0.0,1.0
8.0,1527.0,-0.35355,0.35355,-1.0
8.0,1658.0,1.0,0.0,1.0
8.0,1659.0,-0.35355,0.35355,-1.0
8.0,1700.0,1.0,0.0,1.0
8.0,1911.0,1.0,0.0,1.0
8.0,1919.0,1.0,0.0,1.0
8.0,1955.0,1.0,0.0,1.0
8.0,2000.0,1.0,0.0,1.0
8.0,2001.0,-0.35355,0.35355,-1.0
8.0,2007.0,1.0,0.0,1.0
8.0,2118.0,-1.0,0.0,-1.0
8.0,2238.0,-1.0,0.0,-1.0
8.0,2298.0,0.35355,0.35355,1.0
8.0,2334.0,1.0,0.0,1.0
8.0,2335.0,0.35355,-0.35355,1.0
8.0,2597.0,1.0,0.0,1.0
8.0,2638.0,1.0,0.0,1.0
8.0,2639.0,1.0,0.0,1.0
8.0,2640.0,1.0,0.0,1.0
8.0,2641.0,1.0,0.0,1.0
8.0,2642.0,1.0,0.0,1.0
8.0,2643.0,1.0,0.0,1.0
